Source types: {}
Target types: {}
Src (score): 
		 Property: description; First score: 1.0; Second score: 1.0; Combined: 1.0; Selected
		 Property: name; First score: 1.0; Second score: 1.0; Combined: 1.0; Selected
Tgt (score): 
		 Property: name; First score: 1.0; Second score: 0.9880952380952381; Combined: 0.9904534606205251; Selected
		 Property: description; First score: 0.5961538461538461; Second score: 0.858678955453149; Combined: 0.7891740746138152; Selected
		 Property: manufacturer; First score: 0.9945054945054945; Second score: 0.10681399631675875; Combined: 0.13002615881571908
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.0; Sing.: 1.0; P: 1.0; R: 0.006381039197812215; F1: 0.012681159420289856; Conf.: 0.4920863309352518; Links: 7
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.04; Sing.: 1.0; P: 1.0; R: 0.008204193254329991; F1: 0.0162748643761302; Conf.: 0.4920863309352518; Links: 9
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.05; Sing.: 1.0; P: 1.0; R: 0.010938924339106655; F1: 0.02164111812443643; Conf.: 0.4920863309352518; Links: 12
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.06; Sing.: 1.0; P: 1.0; R: 0.01276207839562443; F1: 0.025202520252025202; Conf.: 0.4920863309352518; Links: 14
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.07; Sing.: 1.0; P: 1.0; R: 0.016408386508659983; F1: 0.03228699551569507; Conf.: 0.4920863309352518; Links: 18
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.08; Sing.: 1.0; P: 1.0; R: 0.020054694621695533; F1: 0.03932082216264522; Conf.: 0.4920863309352518; Links: 22
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.09; Sing.: 1.0; P: 1.0; R: 0.024612579762989972; F1: 0.04804270462633452; Conf.: 0.4920863309352518; Links: 27
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.1; Sing.: 1.0; P: 1.0; R: 0.03099361896080219; F1: 0.060123784261715295; Conf.: 0.4920863309352518; Links: 34
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.0; Sing.: 1.0; P: 1.0; R: 0.006381039197812215; F1: 0.012681159420289856; Conf.: 0.4920863309352518; Links: 7
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.02; Sing.: 1.0; P: 1.0; R: 0.009115770282588878; F1: 0.018066847335140017; Conf.: 0.4920863309352518; Links: 10
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.03; Sing.: 1.0; P: 1.0; R: 0.011850501367365542; F1: 0.023423423423423424; Conf.: 0.4920863309352518; Links: 13
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.04; Sing.: 1.0; P: 1.0; R: 0.014585232452142206; F1: 0.028751123090745734; Conf.: 0.4920863309352518; Links: 16
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.05; Sing.: 1.0; P: 1.0; R: 0.015496809480401094; F1: 0.03052064631956912; Conf.: 0.4920863309352518; Links: 17
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.33; Sing.: 1.0; P: 0.5; R: 9.115770282588879E-4; F1: 0.0018198362147406734; Conf.: 0.4920863309352518; Links: 2
