Source types: {}
Target types: {}
Src (score): 
		 Property: title; First score: 1.0; Second score: 0.9636850152905199; Combined: 0.9707354639969195; Selected
		 Property: authors; First score: 1.0; Second score: 0.7970183486238532; Combined: 0.8307434855366963; Selected
		 Property: venue; First score: 1.0; Second score: 0.002675840978593272; Combined: 0.00334256518002101
Tgt (score): 
		 Property: title; First score: 1.0; Second score: 1.0; Combined: 1.0; Selected
		 Property: authors; First score: 0.9982638888888888; Second score: 0.9982608695652174; Combined: 0.9982614734284907; Selected
		 Property: venue; First score: 0.7413194444444444; Second score: 0.639344262295082; Combined: 0.657431386792155
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.29; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.33; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.4; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.29; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.31; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.33; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 4
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.29; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.33; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.3; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.32; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 3
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.44; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.28; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.3; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 3
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.44; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.44; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.51; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.29; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.32; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 2
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.33; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 3
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.4; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.29; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 1
Src. prop.: title; Tgt. prop.: authors; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.JaroWinkler; Threshold: 0.31; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 8.578168561012224E-4; Links: 2
