Source types: {http://www.w3.org/2002/07/owl#DatatypeProperty=11, http://www.w3.org/2002/07/owl#Ontology=1, http://islab.di.unimi.it/imoaei2015#Publication=28791, http://islab.di.unimi.it/imoaei2015#Person=854, http://www.w3.org/2002/07/owl#Class=2, http://www.w3.org/2002/07/owl#NamedIndividual=29645, http://www.w3.org/2002/07/owl#ObjectProperty=1}
Target types: {http://www.w3.org/2002/07/owl#DatatypeProperty=11, http://www.w3.org/2002/07/owl#Ontology=1, http://islab.di.unimi.it/imoaei2015#Publication=14702, http://islab.di.unimi.it/imoaei2015#Person=854, http://www.w3.org/2002/07/owl#Class=2, http://www.w3.org/2002/07/owl#NamedIndividual=15556, http://www.w3.org/2002/07/owl#ObjectProperty=1}
Src (score): 
		 Property: http://islab.di.unimi.it/imoaei2015#title; First score: 0.9707012811867836; Second score: 0.8350526206106075; Combined: 0.8590621977556396; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#venue; First score: 0.8716453135536075; Second score: 0.2989981820291649; Combined: 0.3442278368689865; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#author_of; First score: 0.028792987188132165; Second score: 1.0; Combined: 0.12909662595235216; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#name; First score: 0.028792987188132165; Second score: 0.8149882903981265; Combined: 0.12613927373061087; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#publisher; First score: 0.9339514497639919; Second score: 0.07118876574852893; Combined: 0.087321967297269
		 Property: http://islab.di.unimi.it/imoaei2015#citations; First score: 0.809912339851652; Second score: 0.024685704770626926; Combined: 0.030623781748190082
		 Property: http://islab.di.unimi.it/imoaei2015#year; First score: 0.9415374241402562; Second score: 0.004834204683807204; Combined: 0.006035009356916218
		 Property: http://www.w3.org/1999/02/22-rdf-syntax-ns#type; First score: 1.0; Second score: 1.1803389258915774E-4; Combined: 1.475380121149785E-4
Tgt (score): 
		 Property: http://islab.di.unimi.it/imoaei2015#title; First score: 0.9441911245263631; Second score: 0.9797306488913073; Combined: 0.9724103089789793; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#venue; First score: 0.8493353028064993; Second score: 0.4229111531190926; Combined: 0.47011733524079274; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#author_of; First score: 0.05484554620769379; Second score: 1.0; Combined: 0.22489071469953126; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#name; First score: 0.05484554620769379; Second score: 0.25878220140515223; Combined: 0.1484118390395151; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#publisher; First score: 0.9049515124269475; Second score: 0.09779291746504862; Combined: 0.11902554490962251
		 Property: http://islab.di.unimi.it/imoaei2015#citations; First score: 0.7373964421039111; Second score: 0.03387911513673576; Combined: 0.04186799566702375
		 Property: http://islab.di.unimi.it/imoaei2015#year; First score: 0.9146490270374414; Second score: 0.005476758882179469; Combined: 0.006835715834114773
		 Property: http://www.w3.org/1999/02/22-rdf-syntax-ns#type; First score: 1.0; Second score: 2.248851479423009E-4; Combined: 2.8109063165080513E-4
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.26; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 6
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.2; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 4
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.21; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 39
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.25; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 1
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.26; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 15
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 1
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.38; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 2
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.4; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 8
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.53; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 1
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.55; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 2
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.57; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 9
