Source types: {}
Target types: {}
Src (score): 
		 Property: description; First score: 0.5; Second score: 2.9833684400517555; Combined: 0.8564607768012702; Selected
		 Property: name; First score: 0.5; Second score: 2.9833684400517555; Combined: 0.8564607768012702; Selected
Tgt (score): 
		 Property: name; First score: 0.3860021208907741; Second score: 2.932911135960467; Combined: 0.6822172387469859; Selected
		 Property: description; First score: 0.2301166489925769; Second score: 2.513680399091957; Combined: 0.42163447218603706; Selected
		 Property: manufacturer; First score: 0.383881230116649; Second score: 0.22880073899906386; Combined: 0.2867141961606209
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.0; Sing.: 1.0; P: 1.0; R: 0.006381039197812215; F1: 0.012681159420289856; Conf.: 0.4920863309352518; Links: 7
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.04; Sing.: 1.0; P: 1.0; R: 0.008204193254329991; F1: 0.0162748643761302; Conf.: 0.4920863309352518; Links: 9
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.05; Sing.: 1.0; P: 1.0; R: 0.010938924339106655; F1: 0.02164111812443643; Conf.: 0.4920863309352518; Links: 12
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.06; Sing.: 1.0; P: 1.0; R: 0.01276207839562443; F1: 0.025202520252025202; Conf.: 0.4920863309352518; Links: 14
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.07; Sing.: 1.0; P: 1.0; R: 0.016408386508659983; F1: 0.03228699551569507; Conf.: 0.4920863309352518; Links: 18
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.08; Sing.: 1.0; P: 1.0; R: 0.020054694621695533; F1: 0.03932082216264522; Conf.: 0.4920863309352518; Links: 22
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.09; Sing.: 1.0; P: 1.0; R: 0.024612579762989972; F1: 0.04804270462633452; Conf.: 0.4920863309352518; Links: 27
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.1; Sing.: 1.0; P: 1.0; R: 0.03099361896080219; F1: 0.060123784261715295; Conf.: 0.4920863309352518; Links: 34
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.11; Sing.: 0.9954; P: 0.9512195121951219; R: 0.03555150410209663; F1: 0.06854130052724078; Conf.: 0.4920863309352518; Links: 41
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.12; Sing.: 0.9838; P: 0.9111111111111111; R: 0.037374658158614404; F1: 0.07180385288966724; Conf.: 0.4920863309352518; Links: 45
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.13; Sing.: 0.9819; P: 0.9230769230769231; R: 0.04375569735642662; F1: 0.0835509138381201; Conf.: 0.4920863309352518; Links: 52
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.14; Sing.: 0.9756; P: 0.9032258064516129; R: 0.05104831358249772; F1: 0.09663503019844694; Conf.: 0.4920863309352518; Links: 62
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.15; Sing.: 0.9797; P: 0.9166666666666666; R: 0.0601640838650866; F1: 0.11291702309666382; Conf.: 0.4920863309352518; Links: 72
Src. prop.: name; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.16; Sing.: 0.9822; P: 0.925; R: 0.0674567000911577; F1: 0.12574341546304163; Conf.: 0.4920863309352518; Links: 80
