Source types: {}
Target types: {}
Src (score): 
		 Property: title; First score: 0.3429793658782084; Second score: 2.883751542859308; Combined: 0.6130460230457648; Selected
		 Property: description; First score: 0.3140412682435833; Second score: 2.8801571204354843; Combined: 0.5663318834847885; Selected
		 Property: manufacturer; First score: 0.3429793658782084; Second score: 0.5830600500124459; Combined: 0.4318986055898042
Tgt (score): 
		 Property: name; First score: 0.4968427537347913; Second score: 2.567847028581381; Combined: 0.8325907543476474; Selected
		 Property: description; First score: 0.4674264592638226; Second score: 2.3994770983154323; Combined: 0.7824323780861664; Selected
		 Property: manufacturer; First score: 0.035730787001386106; Second score: 0.7191463173469989; Combined: 0.06807906542651736
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.0; Sing.: 0.9858; P: 0.88; R: 0.033846153846153845; F1: 0.06518518518518518; Conf.: 0.7136522753792298; Links: 50
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.03; Sing.: 0.9862; P: 0.8823529411764706; R: 0.03461538461538462; F1: 0.06661732050333087; Conf.: 0.7136522753792298; Links: 51
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.04; Sing.: 0.9871; P: 0.8888888888888888; R: 0.036923076923076927; F1: 0.07090103397341212; Conf.: 0.7136522753792298; Links: 54
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.05; Sing.: 0.9824; P: 0.8688524590163934; R: 0.040769230769230766; F1: 0.07788390889052167; Conf.: 0.7136522753792298; Links: 61
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.06; Sing.: 0.984; P: 0.8636363636363636; R: 0.04384615384615385; F1: 0.08345534407027819; Conf.: 0.7136522753792298; Links: 66
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.07; Sing.: 0.9863; P: 0.88; R: 0.05076923076923077; F1: 0.096; Conf.: 0.7136522753792298; Links: 75
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.08; Sing.: 0.9879; P: 0.891566265060241; R: 0.05692307692307692; F1: 0.10701373825018076; Conf.: 0.7136522753792298; Links: 83
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.09; Sing.: 0.9862; P: 0.8958333333333334; R: 0.06615384615384616; F1: 0.12320916905444126; Conf.: 0.7136522753792298; Links: 96
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.1; Sing.: 0.9829; P: 0.9; R: 0.07615384615384616; F1: 0.14042553191489363; Conf.: 0.7136522753792298; Links: 110
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.11; Sing.: 0.9798; P: 0.8888888888888888; R: 0.08615384615384615; F1: 0.1570827489481066; Conf.: 0.7136522753792298; Links: 126
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.12; Sing.: 0.9817; P: 0.8978102189781022; R: 0.09461538461538462; F1: 0.17118997912317327; Conf.: 0.7136522753792298; Links: 137
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.13; Sing.: 0.9783; P: 0.8823529411764706; R: 0.10384615384615385; F1: 0.1858224363386098; Conf.: 0.7136522753792298; Links: 153
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.14; Sing.: 0.9764; P: 0.8587570621468926; R: 0.11692307692307692; F1: 0.2058226134055518; Conf.: 0.7136522753792298; Links: 177
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.15; Sing.: 0.9741; P: 0.8383838383838383; R: 0.1276923076923077; F1: 0.22162883845126835; Conf.: 0.7136522753792298; Links: 198
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.16; Sing.: 0.9739; P: 0.8440366972477065; R: 0.14153846153846153; F1: 0.24242424242424243; Conf.: 0.7136522753792298; Links: 218
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.17; Sing.: 0.9706; P: 0.8312236286919831; R: 0.15153846153846154; F1: 0.25634352635003255; Conf.: 0.7136522753792298; Links: 237
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.18; Sing.: 0.9635; P: 0.8029197080291971; R: 0.16923076923076924; F1: 0.2795425667090216; Conf.: 0.7136522753792298; Links: 274
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.19; Sing.: 0.9618; P: 0.8; R: 0.17846153846153845; F1: 0.2918238993710692; Conf.: 0.7136522753792298; Links: 290
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.2; Sing.: 0.9623; P: 0.7980456026058632; R: 0.18846153846153846; F1: 0.30491599253266954; Conf.: 0.7136522753792298; Links: 307
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.21; Sing.: 0.9612; P: 0.7835365853658537; R: 0.1976923076923077; F1: 0.3157248157248157; Conf.: 0.7136522753792298; Links: 328
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.22; Sing.: 0.9614; P: 0.7893258426966292; R: 0.21615384615384614; F1: 0.3393719806763285; Conf.: 0.7136522753792298; Links: 356
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.23; Sing.: 0.9607; P: 0.7893333333333333; R: 0.2276923076923077; F1: 0.3534328358208955; Conf.: 0.7136522753792298; Links: 375
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.24; Sing.: 0.9546; P: 0.7679425837320574; R: 0.2469230769230769; F1: 0.37369033760186265; Conf.: 0.7136522753792298; Links: 418
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.25; Sing.: 0.9509; P: 0.7472766884531591; R: 0.26384615384615384; F1: 0.3899943149516771; Conf.: 0.7136522753792298; Links: 459
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.26; Sing.: 0.951; P: 0.7454545454545455; R: 0.28384615384615386; F1: 0.41114206128133707; Conf.: 0.7136522753792298; Links: 495
Src. prop.: title; Tgt. prop.: name; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.27; Sing.: 0.9479; P: 0.7476459510357816; R: 0.30538461538461537; F1: 0.4336428181321682; Conf.: 0.7136522753792298; Links: 531
