Source types: {http://www.w3.org/2002/07/owl#DatatypeProperty=11, http://www.w3.org/2002/07/owl#Ontology=1, http://islab.di.unimi.it/imoaei2015#Publication=28791, http://islab.di.unimi.it/imoaei2015#Person=854, http://www.w3.org/2002/07/owl#Class=2, http://www.w3.org/2002/07/owl#NamedIndividual=29645, http://www.w3.org/2002/07/owl#ObjectProperty=1}
Target types: {http://www.w3.org/2002/07/owl#DatatypeProperty=11, http://www.w3.org/2002/07/owl#Ontology=1, http://islab.di.unimi.it/imoaei2015#Publication=14702, http://islab.di.unimi.it/imoaei2015#Person=854, http://www.w3.org/2002/07/owl#Class=2, http://www.w3.org/2002/07/owl#NamedIndividual=15556, http://www.w3.org/2002/07/owl#ObjectProperty=1}
Src (score): 
		 Property: http://islab.di.unimi.it/imoaei2015#author_of; First score: 0.1289670896735844; Second score: 2.578158877705743; Combined: 0.24564623233672678; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#title; First score: 0.1289670896735844; Second score: 2.0677696234858436; Combined: 0.24279125382565478; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#venue; First score: 0.11580654264635397; Second score: 0.6572718818404952; Combined: 0.19691762647530842; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#publisher; First score: 0.12408451776763438; Second score: 0.14787961716317363; Combined: 0.13494110896661585; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#citations; First score: 0.10760471772911133; Second score: 0.049989868786382265; Combined: 0.06826561545050454
		 Property: http://islab.di.unimi.it/imoaei2015#year; First score: 0.12509238811519285; Second score: 0.009700650083036869; Combined: 0.018005046868553524
		 Property: http://islab.di.unimi.it/imoaei2015#name; First score: 0.0038254278969553357; Second score: 2.2979576359709157; Combined: 0.007638140522150688
		 Property: http://www.w3.org/1999/02/22-rdf-syntax-ns#type; First score: 0.26565222649758335; Second score: 2.3615214590825935E-4; Combined: 4.7188480875147014E-4
Tgt (score): 
		 Property: http://islab.di.unimi.it/imoaei2015#author_of; First score: 0.1284859077998689; Second score: 2.6314374219537693; Combined: 0.24500870899805546; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#title; First score: 0.1284859077998689; Second score: 2.564066984459638; Combined: 0.24470937978975607; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#venue; First score: 0.11557788944723618; Second score: 0.9679741553941528; Combined: 0.20649937481554703; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#publisher; First score: 0.12314616561066201; Second score: 0.20600810582244294; Combined: 0.15414722225110292; Selected
		 Property: http://islab.di.unimi.it/imoaei2015#citations; First score: 0.10034520428228097; Second score: 0.06906206076925488; Combined: 0.0818152231421477
		 Property: http://islab.di.unimi.it/imoaei2015#year; First score: 0.12446580729735635; Second score: 0.010994941565180891; Combined: 0.020205030454780937
		 Property: http://islab.di.unimi.it/imoaei2015#name; First score: 0.007463403976403758; Second score: 0.586285381677186; Combined: 0.014739178435877446
		 Property: http://www.w3.org/1999/02/22-rdf-syntax-ns#type; First score: 0.2720297137863229; Second score: 4.5006027172524437E-4; Combined: 8.986337964147822E-4
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.26; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 6
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.27; Sing.: 0.9933; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 52
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.28; Sing.: 0.9577; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.0; Links: 277
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.29; Sing.: 0.8776; P: 6.71591672263264E-4; R: 0.00117096018735363; F1: 8.536064874093043E-4; Conf.: 0.0; Links: 1489
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.3; Sing.: 0.7579; P: 0.001188177632556067; R: 0.00936768149882904; F1: 0.0021088704362725716; Conf.: 0.0; Links: 6733
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.32; Sing.: 0.6645; P: 0.0012357490233596427; R: 0.03629976580796253; F1: 0.002390131071703932; Conf.: 0.0; Links: 25086
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.33; Sing.: 0.5997; P: 0.00128124673151344; R: 0.11475409836065574; F1: 0.00253419875358796; Conf.: 0.0; Links: 76488
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.34; Sing.: 0.5558; P: 0.0012607837246233745; R: 0.275175644028103; F1: 0.002510066970723006; Conf.: 0.0; Links: 186392
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.35; Sing.: 0.5271; P: 0.0012004702759704949; R: 0.5105386416861827; F1: 0.00239530827232897; Conf.: 0.0; Links: 363191
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.37; Sing.: 0.5101; P: 0.001164586535946307; R: 0.7611241217798594; F1: 0.002325614677848699; Conf.: 0.0; Links: 558138
Src. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Tgt. prop.: http://islab.di.unimi.it/imoaei2015#author_of; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.38; Sing.: 0.502; P: 0.0011694465778834032; R: 0.9449648711943794; F1: 0.0023360022231099222; Conf.: 0.0; Links: 690070
