Source types: {http://www.okkam.org/ontology_restaurant1.owl#Restaurant=113, http://www.okkam.org/ontology_restaurant1.owl#Address=113, http://www.okkam.org/ontology_restaurant1.owl#City=113}
Target types: {http://www.okkam.org/ontology_restaurant2.owl#Address=752, http://www.okkam.org/ontology_restaurant2.owl#Category=752, http://www.okkam.org/ontology_restaurant2.owl#Restaurant=752}
Src (score): 
		 Property: http://www.okkam.org/ontology_restaurant1.owl#name; First score: 0.2; Second score: 1.6525379226359458; Combined: 0.35681599873206954; Selected
		 Property: http://www.okkam.org/ontology_restaurant1.owl#has_address; First score: 0.1; Second score: 3.8991937517819713; Combined: 0.1949989919865502; Selected
		 Property: http://www.okkam.org/ontology_restaurant1.owl#is_in_city; First score: 0.1; Second score: 3.8991937517819713; Combined: 0.1949989919865502; Selected
		 Property: http://www.okkam.org/ontology_restaurant1.owl#street; First score: 0.1; Second score: 3.8418109468640282; Combined: 0.19492618994934008; Selected
		 Property: http://www.okkam.org/ontology_restaurant1.owl#phone_number; First score: 0.1; Second score: 3.8418109468640282; Combined: 0.19492618994934008; Selected
		 Property: http://www.okkam.org/ontology_restaurant1.owl#category; First score: 0.1; Second score: 0.40583833561759025; Combined: 0.16046167601041642
		 Property: http://www.w3.org/1999/02/22-rdf-syntax-ns#type; First score: 0.3; Second score: 0.018033598929590715; Combined: 0.03402206368815107
Tgt (score): 
		 Property: http://www.okkam.org/ontology_restaurant2.owl#name; First score: 0.2; Second score: 1.411309679076858; Combined: 0.350350946786447; Selected
		 Property: http://www.okkam.org/ontology_restaurant2.owl#has_address; First score: 0.1; Second score: 3.0659743003878934; Combined: 0.19368282932759448; Selected
		 Property: http://www.okkam.org/ontology_restaurant2.owl#has_category; First score: 0.1; Second score: 3.0659743003878934; Combined: 0.19368282932759448; Selected
		 Property: http://www.okkam.org/ontology_restaurant2.owl#phone_number; First score: 0.1; Second score: 3.042837505236076; Combined: 0.19363632387398988; Selected
		 Property: http://www.okkam.org/ontology_restaurant2.owl#street; First score: 0.1; Second score: 2.9519190119098773; Combined: 0.19344674615481228
		 Property: http://www.okkam.org/ontology_restaurant2.owl#city; First score: 0.1; Second score: 0.1391921640641138; Combined: 0.1163852207355792
		 Property: http://www.w3.org/1999/02/22-rdf-syntax-ns#type; First score: 0.3; Second score: 0.0026670076996946073; Combined: 0.005287013711796705
Src. prop.: http://www.okkam.org/ontology_restaurant1.owl#name; Tgt. prop.: http://www.okkam.org/ontology_restaurant2.owl#name; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.0; Sing.: 1.0; P: 1.0; R: 0.5982142857142857; F1: 0.7486033519553073; Conf.: 0.8313253012048193; Links: 67
Src. prop.: http://www.okkam.org/ontology_restaurant1.owl#name; Tgt. prop.: http://www.okkam.org/ontology_restaurant2.owl#name; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.05; Sing.: 1.0; P: 1.0; R: 0.6071428571428571; F1: 0.7555555555555555; Conf.: 0.8313253012048193; Links: 68
Src. prop.: http://www.okkam.org/ontology_restaurant1.owl#name; Tgt. prop.: http://www.okkam.org/ontology_restaurant2.owl#name; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.18; Sing.: 1.0; P: 1.0; R: 0.6160714285714286; F1: 0.7624309392265194; Conf.: 0.8313253012048193; Links: 69
Src. prop.: http://www.okkam.org/ontology_restaurant1.owl#name; Tgt. prop.: http://www.okkam.org/ontology_restaurant2.owl#name; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.19; Sing.: 1.0; P: 1.0; R: 0.625; F1: 0.7692307692307693; Conf.: 0.8313253012048193; Links: 70
Src. prop.: http://www.okkam.org/ontology_restaurant1.owl#name; Tgt. prop.: http://www.okkam.org/ontology_restaurant2.owl#name; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.23; Sing.: 0.9977; P: 0.9859154929577465; R: 0.625; F1: 0.7650273224043715; Conf.: 0.8313253012048193; Links: 71
Src. prop.: http://www.okkam.org/ontology_restaurant1.owl#name; Tgt. prop.: http://www.okkam.org/ontology_restaurant2.owl#name; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.31; Sing.: 0.9977; P: 0.9861111111111112; R: 0.6339285714285714; F1: 0.7717391304347826; Conf.: 0.8313253012048193; Links: 72
Src. prop.: http://www.okkam.org/ontology_restaurant1.owl#name; Tgt. prop.: http://www.okkam.org/ontology_restaurant2.owl#name; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.35; Sing.: 0.9956; P: 0.9863013698630136; R: 0.6428571428571429; F1: 0.7783783783783784; Conf.: 0.8313253012048193; Links: 73
Src. prop.: http://www.okkam.org/ontology_restaurant1.owl#name; Tgt. prop.: http://www.okkam.org/ontology_restaurant2.owl#name; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.36; Sing.: 0.9874; P: 0.9605263157894737; R: 0.6517857142857143; F1: 0.776595744680851; Conf.: 0.8313253012048193; Links: 76
Src. prop.: http://www.okkam.org/ontology_restaurant1.owl#name; Tgt. prop.: http://www.okkam.org/ontology_restaurant2.owl#name; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.4; Sing.: 0.9784; P: 0.9367088607594937; R: 0.6607142857142857; F1: 0.774869109947644; Conf.: 0.8313253012048193; Links: 79
Src. prop.: http://www.okkam.org/ontology_restaurant1.owl#name; Tgt. prop.: http://www.okkam.org/ontology_restaurant2.owl#name; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.41; Sing.: 0.9787; P: 0.925; R: 0.6607142857142857; F1: 0.7708333333333334; Conf.: 0.8313253012048193; Links: 80
Src. prop.: http://www.okkam.org/ontology_restaurant1.owl#name; Tgt. prop.: http://www.okkam.org/ontology_restaurant2.owl#name; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NormalizedLevenshtein; Threshold: 0.43; Sing.: 0.9656; P: 0.8823529411764706; R: 0.6696428571428571; F1: 0.7614213197969543; Conf.: 0.8313253012048193; Links: 85
